parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997398347931289	2708.726577365834	340.6956804127249	263.1375183523128	242.79769911031937	238.46787835071154	191.03531706617972	191.93574919451893	288.82597754038727	305.42096701100377	289.582832729469	279.59528988045355
concentration	1	0.9999729366284357	7643.225128943837	1132.0329494563282	939.3101503143575	1253.8301266342266	809.896148192526	874.7570715391087	1052.768784518241	1319.9081666815002	1188.7650561595656	653.1226908085101	998.3575849464731
ln_likelihood_Bohol0	1	0.9997491503755185	3580.6213219007313	323.3844517339141	403.7034174423893	327.8599263745466	339.1555055951872	287.6647936161556	290.37235110739266	251.61049674149277	427.8892211983882	317.73123946493337	518.3483972875507
root_height_Bohol0	1	1.0000152765726633	2482.851722897527	236.93679201828982	286.3698488764786	294.56570721369457	284.33772880290326	328.6311805434686	214.97720055086504	151.8077480201283	1500.0	203.50264649164387	483.3082342045509
pop_size_Bohol0	1	0.9999048208955699	2095.2396817657695	212.35384308647124	282.6680402125577	256.7791160413446	174.07251060925702	188.32796890558163	160.179976329055	152.75786428610508	348.19468477083996	177.41625571216	340.49755387410164
pop_size_CamiguinSur0	1	0.9998298838224662	2094.278811191872	194.72839841896447	194.68053766696795	191.30058245907733	202.36369661439284	194.99767610947572	185.35413439223217	140.482773765202	364.0100023567357	184.04315855085446	370.1066772357047
pop_size_root_Bohol0	1	0.9997346274600026	7551.692924105115	467.944257609117	595.8685376591174	894.582631653811	975.7140934813793	610.8950427757801	729.5538615673668	1500.0	511.0492187523281	865.7429927996959	989.9124710189312
ln_likelihood_Palawan1	1	0.9998278751664653	2970.69828441002	442.6751167245285	207.47172387636104	245.8157558991207	217.79374822724589	357.0355346175817	223.19531213599006	419.1491088408367	355.2441485614544	349.63635371152213	351.2464264125238
root_height_Palawan1	1	1.0003487989371667	3912.8615734800123	1047.6438410052483	267.9753601441004	302.87995605713263	222.51918349259344	491.8319855796799	236.43163554340788	611.9410726925803	855.4698374469095	467.6014618956397	442.75554063761507
pop_size_Palawan1	1	0.9998460490852294	2292.841210137495	347.58336768548685	156.07011189120124	192.58057979583955	163.35829590010854	271.96810998091877	182.00404394880317	308.8101277883902	293.8957223572869	266.1831683027212	258.1103018703545
pop_size_Kinabalu1	1	0.9999978266928625	4249.351382096507	1198.8451124442363	1006.7626134299187	428.09597871886706	289.73638500772586	455.2251449583946	218.51268118922368	585.1877531174763	1500.0	661.5177779648467	604.0228526929494
pop_size_root_Palawan1	1	1.0002011160466249	9669.36758868851	867.8656613784179	674.4939652878529	1274.4160302595433	997.0616154781314	1303.533595514825	1389.4612159402504	1124.4235956927732	1119.8687618298372	1059.7929135521724	1351.0833775570377
ln_likelihood_Samar2	1	0.9997472587844232	5487.023218299123	519.7420389608553	526.9811661611607	518.1931244489643	580.1749703934067	499.5529896616903	424.8051184050117	521.4961292509951	600.8486882008243	612.0634363081966	384.91710806204094
root_height_Samar2	1	1.0000940482905158	4568.628101883537	398.5327771104241	276.6981149487925	479.01566319306534	404.91741902485745	408.8062480534888	318.60559499156483	330.0002037466373	765.9973794069874	651.2092739619425	498.39627458784304
pop_size_Samar2	1	1.000489655999559	13175.370296340345	1494.9296739115096	1363.9666723316323	1500.0	1500.0	1471.4454782642235	767.9353513073681	1477.3247090269385	1500.0	1500.0	1500.0
pop_size_Leyte2	1	0.9997662003006724	3057.983501813708	292.2461285802846	256.3123877691824	276.4173336783024	316.8781189633712	294.7182869260041	234.81959564615372	280.1296915703629	400.6805651754919	339.3037407322629	243.42943587648375
pop_size_root_Samar2	1	0.9997989071492468	9375.224833503446	1033.9689889279846	1128.7392546226897	574.6419620489191	1214.0649480627808	1500.0	973.0198517588709	1500.0	816.9246468494476	881.4749231625079	1051.5499081479418
ln_likelihood_Luzon3	1	0.9998935615253769	2756.84632945931	381.02308876887184	437.6359237646356	186.12437668273733	388.98460597619095	194.23903230366346	203.59953792668364	255.55663562428126	363.3017733502106	280.4822711943826	281.95239688630625
root_height_Luzon3	1	1.0017907907103323	1298.5799626580072	159.16002387740843	172.6539968535295	117.08731781652875	367.72723156480157	94.67949138987585	128.8933462283885	151.87250413365481	278.6110043514542	133.66430750937053	119.18811767297004
pop_size_Luzon3	1	1.0004963662181745	4002.3856068874893	296.2213337930597	252.34163939693013	408.7330675356321	306.94039211448165	435.78240025811016	316.7636113400948	400.5225164675133	413.16063312473403	361.49045295132356	390.05587530987594
pop_size_BabuyanClaro3	1	0.9999803576011015	1761.9179582594902	214.87287102582877	310.7255485874928	130.96875580905868	273.80133263038823	111.72987244719025	155.1812918575454	165.567012032391	297.7574422067989	152.98072337795347	178.85145309749953
pop_size_root_Luzon3	1	1.0000866263038344	9130.527216606837	1500.0	907.4255505168676	333.3284293836078	1500.0	1500.0	1500.0	1342.7847801573478	530.3760467209564	1500.0	1500.0
ln_likelihood_Luzon4	1	0.9998420425439727	2814.116440997129	620.6662509408062	247.473613414963	234.79034352373736	257.23300433206543	227.44061032290918	266.16488158891957	196.94738578511001	376.4378714890926	320.66451507379605	224.02819432480763
root_height_Luzon4	1	1.0001664121524214	1794.2264725002683	577.2314722828933	163.7010226964578	129.22748220785917	135.1311037311077	254.4115202590255	201.0793742080603	123.11604959781343	282.87192827138136	252.27729089667707	163.9916789070868
pop_size_Luzon4	1	0.9999195618000839	1916.3550689204305	674.2201893575711	184.75055530041988	151.65775071270428	154.92145059937235	176.20976157252244	196.1617323143738	135.37018126637432	297.6760879443824	211.86297279821898	168.3730455968192
pop_size_CamiguinNorte4	1	0.9998576167642327	1977.6868883863572	430.92988613507725	155.9930080124128	198.04546329430715	203.01259413601667	172.89988725699675	184.92516272221687	134.55243000645893	315.29520933684444	216.07131201156622	157.26493912387798
pop_size_root_Luzon4	1	1.0000092107767298	6965.272994765969	1500.0	1500.0	553.8579617732638	386.03450766092766	1500.0	700.6751104429302	1500.0	520.8825714343441	1045.4591758027293	1500.0
ln_likelihood_Polillo5	1	0.9997232310279256	5276.80082386697	548.4013248986607	330.6083169913977	580.4935189904929	454.5736573348171	600.4773852150274	445.9280176070404	591.2055344609287	455.706189562387	548.8245885600116	708.5826309591843
root_height_Polillo5	1	1.0002034698627689	4229.130554137875	487.04362619930066	220.57921976856872	618.4893552911329	731.6979483785581	585.2342903724394	266.50207260481574	832.249317888872	1500.0	334.04586742264513	1126.860931382901
pop_size_Polillo5	1	0.9997942083506048	4092.6104522075016	631.8834378629418	215.07292043509992	440.4855299519958	386.1411013584815	553.4647219562	335.49435020615954	439.86326284927753	503.2703783176368	364.50050748337134	661.3153476355133
pop_size_Luzon5	1	0.9998634969784658	3017.6584605860135	323.6320361086458	178.4514191996813	360.80572779710525	275.1190178436913	339.6586224271691	263.20060841690633	407.8138912739187	392.3247980408242	258.615174304594	555.9985425233048
