parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997331159058371	2367.6535595068362	217.1379843319232	170.73565768638937	272.16149487836276	232.86937048863294	314.62602290434245	163.2059531490053	278.25842576007426	207.86283368844124	187.09100289059137	252.2046734446595
concentration	1	0.9998982308303866	12501.098344038612	1016.2502826164	987.5750719335531	1361.0571463634312	866.9469769405231	1314.0476430868562	941.7219858181791	993.1924327598521	1041.830570472953	856.094750887657	649.2617377851972
time_prior_parameter_0	1	1.0000608597439984	9425.146463055517	731.2271682171701	577.2715882345441	1097.4886668112144	1500.0	1094.9439376599844	1104.5723671897113	1105.481490742055	1136.8055187642108	1101.7595486646287	1155.6911427796376
ln_likelihood_Bohol0	1	0.999763364005672	2975.070886813202	264.44606642152274	216.47571498514787	295.0459076233041	337.6993619437312	517.2251695757545	214.6970128483263	302.7093785811611	219.57755669008287	367.45066423948947	290.08215521661674
root_height_Bohol0	1	0.9999969994006308	2106.3197688425025	122.40680317288721	172.10350001681925	229.72556491959762	299.0923566653017	411.22821739574755	202.01129598429068	220.8663433482546	133.8110708704009	297.00068873052203	271.6684985833668
pop_size_Bohol0	1	0.9999341883239222	1676.4650598185196	123.81964116472543	141.83961057099654	177.98153788822657	214.99029441172314	303.13261130974337	129.37783045920415	172.02174732772573	119.97642740046595	276.4610475468173	161.8673922980639
pop_size_CamiguinSur0	1	0.999894719386922	1800.0500010592668	160.56472867122056	125.6622564633398	214.37256059949627	206.80904501630522	287.9355013216725	167.2582334589162	203.61253534399998	112.54399620448088	235.0308671000675	173.92910399303435
pop_size_root_Bohol0	1	0.9997878974087332	8302.416736495958	661.3833675727168	561.2685705359328	464.5080210749942	662.0215233398799	1500.0	870.2137727188625	1500.0	1500.0	647.4345375143189	1241.1125681042365
ln_likelihood_Palawan1	1	0.9999530522768921	2487.5100409998345	205.82739185152374	322.5269256681081	279.20254497796	415.0433320655971	342.96969112673435	170.04570985079167	279.6627508798089	242.77033099087444	173.06324017105638	371.4005747593025
root_height_Palawan1	1	1.0000031215372682	3172.671932428698	237.6454982752196	455.1168812384928	463.4331583892356	864.7414927217335	578.8304189641734	216.28925113794594	328.8450115173443	260.2618346587664	263.1702572170552	417.3122078316539
pop_size_Palawan1	1	1.0000074390455438	1947.6979855726909	167.88327935788877	245.1180525685615	223.28543428086817	319.8395264399653	266.0026893263045	142.39562603070908	201.42794028502036	178.73860642898782	131.46226359750096	294.82369250567285
pop_size_Kinabalu1	1	0.9997870623608006	3732.7044547114265	245.72323974966852	438.0799664573824	432.01006578227486	554.929663050981	597.650195332768	250.32547740661664	343.08494954791314	417.494448973835	320.0519433652534	440.6602320878331
pop_size_root_Palawan1	1	0.999833855564085	8758.198519233143	1219.666020824909	817.7490590242753	709.802105456496	866.0856989238113	669.731256054656	769.828365853664	909.8615987818984	1500.0	567.615758882942	1500.0
ln_likelihood_Samar2	1	0.999777960488004	5239.272585239804	698.5152656272296	382.40090731311926	484.46697907203696	377.53363845488707	587.0426019868227	372.8662044418107	756.7299090246506	535.4604439074539	492.32039465019795	685.573973309238
root_height_Samar2	1	0.9998860530837469	3652.414472884246	509.4532971288292	210.02956605405637	362.5765901243018	221.55979221312944	691.8956851629536	260.14993114238933	547.2954428868928	395.68251114215434	501.52308324753176	554.4117308449805
pop_size_Samar2	1	0.9999873050074745	10026.058549194748	565.4592708797129	1500.0	1150.8608937842896	1500.0	971.2418047852786	1500.0	687.665310687418	1342.9759620165853	463.5080508000471	1500.0
pop_size_Leyte2	1	0.999918048372639	2763.3495534730996	397.7505398688499	217.95358676403177	314.32738628437465	199.32790281012765	339.58262398768505	189.44838623254364	413.58409114975666	298.91608437511394	296.4468000775744	346.3841778705449
pop_size_root_Samar2	1	0.999732784259746	10261.477537960018	942.4720818997932	1500.0	1221.6671826658735	1123.643336916237	1035.162083924268	844.9857630571236	1087.89830530552	1500.0	651.9581833572153	1035.054773702937
ln_likelihood_Luzon3	1	0.9998572613519396	2518.198663421575	457.6633316118649	168.49672431276727	244.58464499826533	202.67376724556598	285.2456166408904	180.0561822890642	287.98276436221875	268.7770412516707	176.88435527244323	322.49550047476947
root_height_Luzon3	1	1.000525304706562	1226.1020338423978	290.03201855225785	65.61882367025946	110.65952406275395	153.85349781409064	155.6582669716483	107.43072483745934	161.77882549098703	122.37739622672002	131.69904397218386	109.42710559453985
pop_size_Luzon3	1	1.0004750113685998	3911.2945089733753	347.2978003632334	677.4237019996696	343.18235948516207	340.02505265770594	413.15142805706705	410.99721746286934	363.19793797886257	318.7381792780097	366.2080178050166	306.30968631962475
pop_size_BabuyanClaro3	1	1.0000220151321675	1409.2726072437508	305.3065014897339	90.80069001773549	145.63145227892335	133.78864186883027	180.95605119720278	133.2643416372839	168.59137985509565	151.9824206903166	101.47905970198381	149.8288279389624
pop_size_root_Luzon3	1	0.9998446433918133	12143.276751736323	877.921358069214	1500.0	1500.0	1500.0	751.9629899590954	1500.0	1500.0	1500.0	627.0941733821801	1500.0
ln_likelihood_Luzon4	1	0.9998073026564293	2348.8591838035027	190.51682241545328	143.46075128170276	274.40019657832926	419.22500146963364	355.376545274153	174.3913838410827	430.5395537849854	131.9723331149429	172.94033167628092	247.751782672483
root_height_Luzon4	1	1.0006803258539472	1483.90695556204	122.94080023476309	91.81942480999952	176.08692868238492	357.1545126025395	232.58266124205636	172.14148830849192	281.0113514688949	107.07253987558387	127.1837333952805	191.04835599489942
pop_size_Luzon4	1	1.0001533658003292	1509.3740359743806	145.65016636516486	97.48930560273284	192.22401490009528	291.96694400452344	238.2975768489443	127.74161184804345	271.4153400851263	110.98406588679299	125.56650883034962	193.97184081473912
