parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997545594047028	2415.3850158063037	209.98016871850925	286.6825858559427	236.3785479257436	219.433741679968	204.7706739314958	242.89103636168173	209.07526744174768	213.12651909033914	329.2244308261467	178.4309522352585
concentration	1	1.000022941874234	10058.581565323684	845.8369891554124	1199.6011258568712	799.9035021322638	760.0375278751911	815.4857247144903	893.2384609761144	874.630854249243	1326.1771571104377	1302.8569866940977	722.9179765381666
time_prior_parameter_0	1	1.0002147566993347	7974.267335246144	907.9449688717687	1096.9509417326583	1254.4939820139614	1114.1870377948344	1002.0676149389444	658.0134723625055	895.9447379390268	819.8986330837346	925.5767668014568	858.8669260876104
ln_likelihood_Bohol0	1	0.9999632376670291	2838.1115613579673	466.8772190458508	332.9373858168958	249.67445341475383	315.1692786238709	239.2564867371153	480.8188465244374	338.46538396998915	198.9098878266491	355.2731190342861	201.88444172142658
root_height_Bohol0	1	0.9998502008382247	2656.047730620216	367.59711613862856	247.6155933546356	261.40406476961067	445.647567894211	169.3398519641373	316.254095760147	215.87909087070912	222.34619637594795	214.72069112896241	227.84795890858808
pop_size_Bohol0	1	1.0000527825943917	1706.8241023752423	293.64109113922075	197.59495445379426	190.3996306805332	249.03065633166534	130.97126152048966	229.19022465843935	194.52466730993584	113.81860284966889	196.23379568883527	124.4619078264879
pop_size_CamiguinSur0	1	1.000152919079283	1763.3152837108908	382.54208225959064	193.7601868743651	150.32209267896414	218.14920085800503	169.87049354471262	266.714172193179	219.15358488003287	123.76410133873057	211.86758089105442	123.36780107354933
pop_size_root_Bohol0	1	0.9999187201661071	6793.5820967848485	731.8746876010682	1500.0	1500.0	527.0304281625876	1500.0	1500.0	531.1907276172627	421.8785560292872	1500.0	585.1652841132694
ln_likelihood_Palawan1	1	0.9998271534163357	2411.944328544015	256.280918906501	565.1323796824217	272.0754301481418	239.62252607351738	207.0320525032892	181.58272437010348	180.59419821163365	231.8644980581557	207.414795137653	249.37699507987267
root_height_Palawan1	1	1.000191374344303	3214.084417155597	467.45066349380386	823.9187023061988	473.5100591950427	451.9271700260771	303.40839623912984	224.90754304244336	202.5849663874921	294.49989113755834	353.18998513691486	362.0489917139665
pop_size_Palawan1	1	0.9998583684363742	1845.3384870695154	203.35419127405964	409.00270657454973	207.30521866440742	186.02078995901374	155.022030673193	136.7259806428058	133.06529639627857	190.97323111292505	155.15245219717573	199.4240985669437
pop_size_Kinabalu1	1	0.9998282487795275	4426.4858150832415	661.7749122594353	971.1999561550025	787.1455754543495	532.7916498334383	398.4299067830817	299.79664256409853	281.5330644372573	367.83269372119116	468.48639454565983	369.70546913211103
pop_size_root_Palawan1	1	1.0001675607807632	8971.560245700835	774.5839422268187	1071.9235328642694	1020.729740219266	554.985815374415	743.8056867220055	560.4517094604465	1422.4860594520187	860.7110742376685	863.3173832850473	785.6841797795746
ln_likelihood_Samar2	1	0.9997455260369018	5524.66549043653	537.2470651877187	515.5471668264106	510.1172204059055	388.9638566581376	860.4404451528683	642.3088996940713	635.6405411294396	352.50198330045475	812.7798184859187	334.5757173070558
root_height_Samar2	1	0.9998678028137625	4329.5384837498505	598.5045489904916	381.47199750956764	555.2115687045924	251.25485968138366	548.1819788188204	416.27695801474516	464.5336792073844	285.2394279439436	821.539870866323	297.0654721430574
pop_size_Samar2	1	1.0000253776577956	10963.941185134716	725.6091003755869	1500.0	1457.7969261807996	1391.188254626306	548.1665776469941	1500.0	1452.8168435577957	750.2951718099195	1356.7248835197558	851.0581505319045
pop_size_Leyte2	1	0.9998649342063227	2837.867306029739	360.67174839105684	333.0271441860769	312.4849312585725	205.77444771335723	492.91812911103676	306.6073636954755	300.80545854465896	190.2333536471498	518.9102997165262	193.2322478560655
pop_size_root_Samar2	1	0.999761433411508	9237.335156276167	692.2401819259319	1500.0	689.6629659464763	1500.0	1157.0417018699065	1196.3081793420429	809.2621574447273	608.1960311957624	893.2433858848077	629.6181632984147
ln_likelihood_Luzon3	1	0.999867740903895	2784.7488853843893	298.7414961287462	387.2679228730688	256.55631755412793	233.8100442200258	164.40364947056338	304.9169215372949	450.2714450183411	384.2650238902194	405.60735351558424	150.10156004517458
root_height_Luzon3	1	1.0001681436485308	2241.5723884187273	224.9385410264077	176.55592100671083	197.10597710678203	266.65680439311325	123.30430458332647	203.57764567307558	299.8880966625074	283.77672972301474	202.98377370700575	104.81581600038355
pop_size_Luzon3	1	1.0000330234568184	3769.1713320385325	604.5895275483689	390.9718108435004	332.40093096123616	557.3910497968074	635.8959768372945	372.4900334660691	286.3760357341403	480.08632578256817	447.5476952556329	903.868032209168
pop_size_BabuyanClaro3	1	1.0001506489545	1684.386983863233	216.2473926806075	221.54817735397813	159.46171582555465	158.4994269018289	123.90222137728546	185.4483751129777	293.657831287421	229.16856946881367	243.64596356716092	92.2530028271914
pop_size_root_Luzon3	1	0.9997903383496674	12418.005591309851	1500.0	1500.0	1273.8617306180142	586.6239060584159	1500.0	1191.6281384391407	1012.4775519267738	1394.9347075667056	1500.0	1500.0
ln_likelihood_Luzon4	1	0.9997658733107716	2578.662280359719	208.7482435601749	416.020412671907	257.342409894514	199.95649458968933	296.7138616523017	198.15989931746685	171.00253690183436	199.2127657336294	417.99593640548756	221.75347040960906
root_height_Luzon4	1	0.9998946389022101	1632.3277618335667	138.1471182673352	254.2418482319902	188.3137076983915	173.01773891865585	245.71600391882214	114.97375633141544	98.29418007620203	146.78859937461488	188.01083507455468	172.90345200122542
pop_size_Luzon4	1	0.9999333284587456	1645.7587465350684	134.57751368777926	278.4129665383502	187.56828918122213	147.351670323802	220.5479352850198	131.60248858647648	112.34400834578771	124.21729886866044	243.5235738735518	176.82949811123984
pop_size_CamiguinNorte4	1	0.999803387271988	1804.9936612764295	147.46873049582092	242.68432683859797	196.75628252974846	161.92277775759413	205.8597235915503	140.22642200085212	123.02315519844149	144.07117243409857	281.75984604671254	182.41525451497307
pop_size_root_Luzon4	1	0.9999177418616642	7702.168535139468	958.62901953779	1034.8184884813325	1500.0	386.52585181867664	756.8824261865279	1500.0	1500.0	1005.8400337026196	1048.3900356290035	368.2928918004208
ln_likelihood_Polillo5	1	0.9998640033798945	4129.570937672611	486.9459197138765	568.9736367380182	391.37027710040826	323.16174186554565	475.2687587734931	405.0053747521519	440.2389878661714	310.76661432854326	741.791930071265	314.54430404701213
root_height_Polillo5	1	1.0000761811440162	3614.2349554189063	343.2994045739522	369.1976717519575	294.99418033537734	329.95530704035775	309.58996858026126	265.6432912191978	398.84223844865147	349.4558726472108	832.0171609147659	287.9719366909941
