parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997029866518126	2681.719060016314	255.90537457001702	256.8035689043486	216.62485016513529	265.6612695920614	270.704666298586	228.54965141940386	211.6494091954029	237.98942268442153	233.33876271698466	321.9849401436649
concentration	1	1.001270279242539	4191.685481855815	608.4994274763123	563.710379503701	458.75680968424393	397.22150279670126	453.3656171918283	226.080556057894	464.7784426732916	343.1219140869089	610.1338185548178	553.9451561472744
ln_likelihood_Bohol0	1	0.9997473928707674	4267.790400118595	323.54414468813087	419.5920525836122	276.0056833162612	390.6029842809311	611.8873106692186	462.3787640110656	471.4525137555566	458.65053230961	323.76425152251153	576.9910100416306
root_height_Bohol0	1	0.9999056619387708	4738.600470526108	248.68678214254035	331.30729740897675	204.70046160395904	696.8102716772307	540.9033944610698	870.2841402659304	350.2879337027697	549.783900871375	519.7256676304678	783.5747821861004
pop_size_Bohol0	1	0.9998759886424434	2640.646812684893	175.73015008027804	315.1823618505033	168.1420434167678	266.6338350956563	456.79965282057265	263.073479667298	335.8110808592654	312.49258069434944	205.22678664335996	387.53456708144586
pop_size_CamiguinSur0	1	0.999885808623476	2675.593334057374	191.17177514886004	272.7300098162301	154.32606420163205	280.35347152243656	381.35196825280474	388.54825010752455	352.48281529345127	335.81917640317823	213.25939112213655	438.78710964029665
pop_size_root_Bohol0	1	0.999720649780425	7719.266015776473	1258.8830434839936	1000.1304306523481	834.2509950254525	531.4117149062373	1044.3523634575665	720.731591973996	737.0621514982026	573.6167447726706	557.823019615734	749.6648284608109
ln_likelihood_Palawan1	1	0.9998274288175708	2713.5264775053597	219.9618098077549	303.91859370776103	316.59648817277525	183.88189882521294	270.3517746448968	215.64582643065762	197.01900394252877	436.3950570138456	356.15720281065006	397.43421970848715
root_height_Palawan1	1	1.0004397943258203	3889.501435611232	267.64847296421067	393.42392960453566	689.2344260530781	236.6666275594458	356.1329604573462	316.6091835833236	309.57717304309966	897.0095888840967	586.2009761734009	838.0891609124095
pop_size_Palawan1	1	0.9998844014695218	2090.1631851022566	170.77260500482248	247.42328057565464	251.34482331247457	142.86442422208893	204.28359631240582	171.84078115705353	144.84285347801438	349.8299256286996	275.08797952269435	307.40200599128025
pop_size_Kinabalu1	1	0.9999116594892744	4151.356573452087	312.47908131775847	271.2656180041812	623.1255014546499	284.7824597709563	495.0029954213791	412.8440520834485	618.8856146980307	419.51574077367667	907.884034170015	1500.0
pop_size_root_Palawan1	1	1.0001517863905174	9528.422072818734	1028.6359733044035	789.6601556153973	940.129539797436	1102.9964717670339	1099.991124662423	891.501856157332	801.3331023999261	898.8780162566298	1019.6618772751733	877.0900746062687
ln_likelihood_Samar2	1	0.9997524637940576	5432.489820998673	448.0080029722953	397.15904676061734	781.4648767066075	486.1417705577967	686.666265524281	413.80313849833624	461.18514063285267	431.71128454724675	529.3197235427534	595.8921735468915
root_height_Samar2	1	0.9998504762262636	4219.033626037994	223.20516859912672	732.8800876289338	530.7846901725496	413.20913760823436	548.6572269725779	263.8831683674349	639.3294062163958	323.63199421633846	396.24701200967974	511.24175538372623
pop_size_Samar2	1	0.9999414901639433	13484.161329488406	1500.0	1500.0	1500.0	1119.865446185768	1500.0	582.0434991772772	1173.4486162561154	851.1105749583432	1253.2700475424717	1500.0
pop_size_Leyte2	1	0.9997347125521358	2995.8521504515807	186.0391749160314	271.14895529732263	376.67284931082145	284.1381083441885	402.3794416499468	235.80599997071417	290.6365110818708	264.9199175660311	296.08888161906157	338.20624396154585
pop_size_root_Samar2	1	0.9998443647582306	9347.603070706844	1152.7081871919509	1471.3298444055886	1500.0	1033.4170522273387	954.9765288411912	1500.0	625.8787895040957	576.7126466643521	1500.0	592.2744752236642
ln_likelihood_Luzon3	1	0.9998216790729136	2693.0912367453734	191.8769747223208	258.64540901786114	195.13701379395812	428.7804697480767	174.51438398412193	369.9456426929504	203.41774383789053	229.95762853991798	331.1282204963318	296.8408733919207
root_height_Luzon3	1	1.0005882829737687	1177.466193203386	76.61542850794365	124.20211793983796	89.24169015999242	512.5494294513885	88.32866250312532	285.62881055288875	95.8220534598253	224.16574588898993	194.82864500015984	100.48829140231366
pop_size_Luzon3	1	1.0032284558472981	2769.696908048659	415.81643357530834	314.8546008633229	244.78104608732025	292.59253054109456	563.745311383305	434.3874205126146	277.0396865662935	447.22752536622795	377.87274673642827	357.7685120794317
