model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	0.491857	0.491857	0.500358	0.966565
0,1,2,3,4,5,6,7,8,9,10,11,12,11,13,14	0.0978571	0.589714	0.002041	53.038
0,1,2,3,4,5,6,7,8,9,6,10,11,12,13,14	0.0517857	0.6415	0.002022	26.9552
0,1,2,3,4,5,6,7,8,9,10,11,12,13,0,14	0.0482143	0.689714	0.002037	24.8176
0,1,2,3,4,5,6,7,8,9,10,11,12,3,13,14	0.0392857	0.729	0.001998	20.4257
0,1,2,3,4,5,6,7,8,9,10,3,11,12,13,14	0.032	0.761	0.002085	15.822
0,1,2,3,4,5,6,7,8,9,10,3,11,3,12,13	0.0268571	0.787857	3.8e-05	726.245
0,1,2,3,4,5,6,7,8,9,6,10,11,10,12,13	0.0179286	0.805786	2.1e-05	869.309
0,1,2,3,4,5,6,7,8,9,10,11,12,11,0,13	0.0174286	0.823214	1.9e-05	933.546
0,1,2,3,4,5,6,7,8,9,6,3,10,3,11,12	0.0120714	0.835286	<1e-06	>12218.9
0,1,2,3,4,5,6,7,8,9,10,11,12,13,8,14	0.011	0.846286	0.002014	5.51139
0,1,2,3,4,5,6,7,8,9,6,10,11,12,0,13	0.01	0.856286	1.7e-05	594.167
0,1,2,3,4,5,6,7,8,9,10,3,11,3,0,12	0.00935714	0.865643	<1e-06	>9445.52
0,1,2,3,4,5,6,7,4,8,9,10,11,12,13,14	0.00928571	0.874929	0.001997	4.68404
0,1,2,3,4,5,6,7,8,9,6,10,11,3,12,13	0.00914286	0.884071	9e-06	1025.24
0,1,2,3,4,5,6,4,7,8,9,10,11,12,13,14	0.00842857	0.8925	0.002017	4.20579
0,1,2,3,4,5,6,7,8,9,6,3,10,3,0,11	0.00721429	0.899714	<1e-06	>7266.7
0,1,2,3,4,5,6,7,8,9,6,3,10,11,12,13	0.00707143	0.906786	2e-05	356.082
0,1,2,3,4,5,6,7,8,9,10,11,12,3,0,13	0.00692857	0.913714	2.2e-05	317.125
0,1,2,3,4,5,6,7,8,9,10,3,11,12,0,13	0.00664286	0.920357	1.1e-05	607.928
0,1,2,3,4,5,6,7,8,9,6,10,11,10,0,12	0.00635714	0.926714	<1e-06	>6397.81
0,1,2,3,4,5,6,7,8,9,10,11,12,11,8,13	0.00364286	0.930357	2.5e-05	146.243
0,1,2,3,4,5,6,4,7,8,9,10,11,10,12,13	0.00357143	0.933929	2e-05	179.208
0,1,2,3,4,5,6,7,4,8,9,10,11,10,12,13	0.0035	0.937429	2.3e-05	152.705
0,1,2,3,4,5,6,7,8,9,6,10,11,3,0,12	0.00342857	0.940857	<1e-06	>3440.36
0,1,2,3,4,5,6,7,8,9,6,3,10,11,0,12	0.00264286	0.9435	<1e-06	>2649.86
0,1,2,3,4,5,6,7,8,9,10,11,12,3,8,13	0.00221429	0.945714	1e-05	221.918
0,1,2,3,4,5,6,4,7,8,9,3,10,3,11,12	0.00207143	0.947786	1e-06	2075.73
0,1,2,3,4,5,6,7,4,8,9,3,10,3,11,12	0.00192857	0.949714	<1e-06	>1932.3
0,1,2,3,4,5,6,7,8,9,6,10,11,12,8,13	0.00185714	0.951571	1.5e-05	124.038
0,1,2,3,4,5,6,7,8,9,10,3,11,3,8,12	0.00178571	0.953357	1e-06	1788.91
0,1,2,3,4,5,6,7,4,8,9,10,11,12,0,13	0.00178571	0.955143	1.5e-05	119.259
0,1,2,3,4,5,6,4,7,8,6,9,10,11,12,13	0.00171429	0.956857	1.5e-05	114.48
0,1,2,3,4,5,6,7,4,8,9,3,10,11,12,13	0.00164286	0.9585	2.1e-05	78.3584
0,1,2,3,4,5,6,7,4,8,9,10,11,3,12,13	0.00164286	0.960143	1.9e-05	86.6068
0,1,2,3,4,5,6,7,4,8,6,9,10,11,12,13	0.00157143	0.961714	1.5e-05	104.925
0,1,2,3,4,5,6,7,4,8,6,9,10,9,11,12	0.00157143	0.963286	<1e-06	>1573.9
0,1,2,3,4,5,6,7,4,8,9,3,10,3,0,11	0.00157143	0.964857	<1e-06	>1573.9
0,1,2,3,4,5,6,4,7,8,9,10,11,3,12,13	0.00157143	0.966429	1.5e-05	104.925
0,1,2,3,4,5,6,7,4,8,9,10,11,10,0,12	0.0015	0.967929	<1e-06	>1502.25
0,1,2,3,4,5,6,7,8,9,6,10,11,10,8,12	0.0015	0.969429	<1e-06	>1502.25
0,1,2,3,4,5,6,4,7,8,9,10,11,10,0,12	0.00142857	0.970857	<1e-06	>1430.61
0,1,2,3,4,5,6,7,8,9,6,3,10,3,8,11	0.00128571	0.972143	<1e-06	>1287.37
0,1,2,3,4,5,6,7,4,8,6,9,10,9,0,11	0.00121429	0.973357	<1e-06	>1215.76
0,1,2,3,4,5,6,7,8,9,10,11,3,12,13,14	0.00121429	0.974571	0.00208	0.583285
0,1,2,3,4,5,6,7,8,9,10,3,11,12,8,13	0.00121429	0.975786	1.3e-05	93.5189
0,1,2,3,4,5,6,4,7,8,9,10,11,12,0,13	0.00121429	0.977	1.7e-05	71.5142
0,1,2,3,4,5,6,7,4,8,6,3,9,3,0,10	0.00114286	0.978143	<1e-06	>1144.16
0,1,2,3,4,5,6,4,7,8,9,3,10,3,0,11	0.00107143	0.979214	<1e-06	>1072.58
0,1,2,3,4,5,6,7,4,8,6,3,9,3,10,11	0.00107143	0.980286	<1e-06	>1072.58
0,1,2,3,4,5,6,4,7,8,6,3,9,3,0,10	0.001	0.981286	<1e-06	>1001
0,1,2,3,4,5,6,7,4,8,6,9,10,11,0,12	0.000928571	0.982214	<1e-06	>929.434
0,1,2,3,4,5,6,7,4,8,9,10,11,3,0,12	0.000857143	0.983071	1e-06	857.877
0,1,2,3,4,5,6,7,4,8,6,9,10,3,11,12	0.000857143	0.983929	<1e-06	>857.877
0,1,2,3,4,5,6,4,7,8,6,3,9,3,10,11	0.000785714	0.984714	<1e-06	>786.331
0,1,2,3,4,5,6,4,7,8,6,9,10,11,0,12	0.000785714	0.9855	<1e-06	>786.331
0,1,2,3,4,5,6,4,7,8,6,9,10,9,0,11	0.000642857	0.986143	<1e-06	>643.27
0,1,2,3,4,5,6,7,8,9,6,3,10,11,8,12	0.000642857	0.986786	<1e-06	>643.27
0,1,2,3,4,5,6,7,4,8,6,3,9,10,11,12	0.000642857	0.987429	<1e-06	>643.27
0,1,2,3,4,5,6,4,7,8,9,3,10,11,12,13	0.000571429	0.988	1.8e-05	31.7636
0,1,2,3,4,5,6,4,7,8,6,9,10,9,11,12	0.000571429	0.988571	<1e-06	>571.755
0,1,2,3,4,5,6,7,4,8,6,9,10,3,0,11	0.0005	0.989071	<1e-06	>500.25
0,1,2,3,4,5,6,7,4,8,9,3,10,11,0,12	0.0005	0.989571	<1e-06	>500.25
0,1,2,3,4,5,6,4,7,8,9,10,11,3,0,12	0.000428571	0.99	<1e-06	>428.755
0,1,2,3,4,5,6,7,8,9,10,11,3,11,12,13	0.000428571	0.990429	1.8e-05	23.8193
0,1,2,3,4,5,6,7,0,8,9,10,11,12,13,14	0.000428571	0.990857	0.00205	0.20872
0,1,2,3,4,5,6,7,0,8,9,3,10,3,0,11	0.000357143	0.991214	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,9,10,11,10,7,12	0.000357143	0.991571	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,3,0,11	0.000357143	0.991929	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,9,3,10,11,0,12	0.000357143	0.992286	1e-06	357.27
0,1,2,3,4,5,6,7,8,9,6,10,11,3,8,12	0.000357143	0.992643	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,3,9,3,7,10	0.000357143	0.993	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,9,7,11	0.000357143	0.993357	<1e-06	>357.27
0,1,2,3,4,5,6,4,7,8,6,9,10,3,11,12	0.000357143	0.993714	2e-06	178.635
0,1,2,3,4,5,6,7,8,9,6,10,3,11,12,13	0.000285714	0.994	1.3e-05	21.984
0,1,2,3,4,5,6,4,7,8,9,3,10,3,7,11	0.000285714	0.994286	<1e-06	>285.796
0,1,2,3,4,5,6,4,7,8,6,3,9,10,0,11	0.000285714	0.994571	<1e-06	>285.796
