number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
16	0.491857	0.491857	0.500358	0.966565
15	0.299643	0.7915	0.246641	1.30684
14	0.131786	0.923286	0.106392	1.27491
13	0.0556429	0.978929	0.051778	1.07904
12	0.0181429	0.997071	0.029624	0.605276
11	0.00285714	0.999929	0.018356	0.153232
10	7.14286e-05	1	0.012443	0.00566944
1	<7.14286e-05	1	0.001156	<0.0617224
2	<7.14286e-05	1	0.001532	<0.0465563
3	<7.14286e-05	1	0.001921	<0.0371142
4	<7.14286e-05	1	0.002441	<0.0291927
5	<7.14286e-05	1	0.003023	<0.0235586
6	<7.14286e-05	1	0.003877	<0.0183536
7	<7.14286e-05	1	0.005036	<0.0141132
8	<7.14286e-05	1	0.006663	<0.0106495
9	<7.14286e-05	1	0.008759	<0.00808403
