model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,7,8,9,6,3,10,3,0,11	0.132643	0.132643	<1e-06	>152927
0,1,2,3,4,5,6,7,4,8,6,3,9,3,0,10	0.0997857	0.232429	<1e-06	>110847
0,1,2,3,4,5,6,4,7,8,6,3,9,3,0,10	0.0865714	0.319	<1e-06	>94776.3
0,1,2,3,4,5,6,7,8,9,10,3,11,3,0,12	0.0588571	0.377857	1e-06	62537.9
0,1,2,3,4,5,6,7,8,9,6,3,10,3,11,12	0.0424286	0.420286	1e-06	44308.5
0,1,2,3,4,5,6,7,8,9,10,3,11,3,12,13	0.0325714	0.452857	2.6e-05	1294.89
0,1,2,3,4,5,6,7,8,9,6,10,11,10,0,12	0.0275714	0.480429	<1e-06	>28353.1
0,1,2,3,4,5,6,7,4,8,9,3,10,3,0,11	0.0261429	0.506571	<1e-06	>26844.6
0,1,2,3,4,5,6,7,8,9,6,3,10,3,8,11	0.0237857	0.530357	<1e-06	>24365.2
0,1,2,3,4,5,6,4,7,8,9,3,10,3,0,11	0.0235714	0.553929	<1e-06	>24140.4
0,1,2,3,4,5,6,7,4,8,6,3,9,3,10,11	0.0215	0.575429	<1e-06	>21972.4
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	0.0203571	0.595786	0.500889	0.0207064
0,1,2,3,4,5,6,7,8,9,10,11,12,11,0,13	0.019	0.614786	1.7e-05	1139.27
0,1,2,3,4,5,6,7,8,9,10,11,12,11,13,14	0.0185714	0.633357	0.002064	9.14913
0,1,2,3,4,5,6,4,7,8,6,3,9,3,10,11	0.0167857	0.650143	<1e-06	>17072.3
0,1,2,3,4,5,6,4,0,7,6,3,8,3,0,9	0.0165	0.666643	<1e-06	>16776.8
0,1,2,3,4,5,6,7,8,9,6,10,11,10,12,13	0.0159286	0.682571	1.5e-05	1079.08
0,1,2,3,4,5,6,4,4,7,6,3,8,3,0,9	0.0148571	0.697429	<1e-06	>15081.2
0,1,2,3,4,5,6,4,7,8,6,3,9,3,7,10	0.0140714	0.7115	<1e-06	>14272.2
0,1,2,3,4,5,6,7,8,9,6,10,11,3,0,12	0.0124286	0.723929	<1e-06	>12585
0,1,2,3,4,5,6,7,0,8,6,3,9,3,0,10	0.0124286	0.736357	<1e-06	>12585
0,1,2,3,4,5,6,7,4,8,6,9,10,9,0,11	0.0117857	0.748143	<1e-06	>11926.3
0,1,2,3,4,5,6,4,7,8,6,9,10,9,0,11	0.0112857	0.759429	<1e-06	>11414.5
0,1,2,3,4,5,6,7,8,9,6,3,10,11,0,12	0.0112143	0.770643	1e-06	11341.5
0,1,2,3,4,5,6,7,8,9,10,11,12,13,0,14	0.0103571	0.781	0.002047	5.10216
0,1,2,3,4,5,6,7,8,9,10,3,11,3,8,12	0.01	0.791	1e-06	10101
0,1,2,3,4,5,6,7,8,9,10,11,12,3,0,13	0.00921429	0.800214	8e-06	1162.49
0,1,2,3,4,5,6,7,4,8,9,3,10,3,11,12	0.00857143	0.808786	<1e-06	>8645.52
0,1,2,3,4,5,6,7,8,9,6,10,11,12,13,14	0.00842857	0.817214	0.00209	4.05859
0,1,2,3,4,5,6,7,8,9,10,11,12,3,13,14	0.00771429	0.824929	0.002064	3.75882
0,1,2,3,4,5,6,7,8,9,6,10,11,3,12,13	0.0075	0.832429	1.1e-05	686.963
0,1,2,3,4,5,6,7,8,9,10,3,11,12,13,14	0.00742857	0.839857	0.002079	3.5924
0,1,2,3,4,5,6,7,8,9,10,3,11,12,0,13	0.00728571	0.847143	1.6e-05	458.692
0,1,2,3,4,5,6,4,7,8,9,3,10,3,11,12	0.00685714	0.854	<1e-06	>6904.48
0,1,2,3,4,5,6,7,8,9,6,3,10,11,12,13	0.00607143	0.860071	2e-05	305.42
0,1,2,3,4,5,6,7,8,9,6,10,11,12,0,13	0.006	0.866071	1.7e-05	355.066
0,1,2,3,4,5,6,7,4,8,6,9,10,3,0,11	0.00578571	0.871857	<1e-06	>5819.38
0,1,2,3,4,5,6,7,4,8,9,10,11,10,0,12	0.00507143	0.876929	<1e-06	>5097.27
0,1,2,3,4,5,6,4,7,8,6,3,9,10,0,11	0.00471429	0.881643	<1e-06	>4736.61
0,1,2,3,4,5,6,7,8,9,6,10,11,10,8,12	0.00464286	0.886286	<1e-06	>4664.51
0,1,2,3,4,5,6,7,4,8,6,3,9,10,0,11	0.0045	0.890786	<1e-06	>4520.34
0,1,2,3,4,5,6,4,7,8,6,9,10,3,0,11	0.00428571	0.895071	<1e-06	>4304.16
0,1,2,3,4,5,6,4,7,8,9,10,11,10,0,12	0.00421429	0.899286	<1e-06	>4232.12
0,1,2,3,4,5,6,4,7,8,9,3,10,3,7,11	0.004	0.903286	<1e-06	>4016.06
0,1,2,3,4,5,6,7,0,8,9,3,10,3,0,11	0.00385714	0.907143	<1e-06	>3872.07
0,1,2,3,4,5,6,7,4,8,6,9,10,9,11,12	0.00364286	0.910786	<1e-06	>3656.17
0,1,2,3,4,5,6,4,7,8,6,9,10,9,11,12	0.00364286	0.914429	<1e-06	>3656.17
0,1,2,3,4,5,6,4,4,7,8,3,9,3,0,10	0.00314286	0.917571	<1e-06	>3152.76
