number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
12	0.307857	0.307857	0.029179	14.7987
11	0.230643	0.5385	0.018183	16.1874
13	0.226643	0.765143	0.052168	5.32463
14	0.125143	0.890286	0.106243	1.20334
15	0.0575	0.947786	0.246539	0.18645
10	0.0318571	0.979643	0.012181	2.66847
16	0.0203571	1	0.500889	0.0207064
1	<7.14286e-05	1	0.001213	<0.0588187
2	<7.14286e-05	1	0.001458	<0.0489229
3	<7.14286e-05	1	0.00197	<0.0361893
4	<7.14286e-05	1	0.002432	<0.029301
5	<7.14286e-05	1	0.003125	<0.0227873
6	<7.14286e-05	1	0.003941	<0.0180543
7	<7.14286e-05	1	0.004955	<0.014345
8	<7.14286e-05	1	0.006572	<0.010798
9	<7.14286e-05	1	0.008952	<0.0079082
